Sample('HN3L_M_1_V_0p022360679775_e_Dirac_massiveAndCKM_LO'          , ['HN3L_M_1_V_0p022360679775_e_Dirac_massiveAndCKM_LO'          ], channel, '#splitline{m= 1.0, V^{2}=5.0E-04}{Dirac    }' , selection, 'hnl_m_1.0_v2_5p0Em04_dirac'    ,  'darkorange'   , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,       1.227, toplot=False), 
Sample('HN3L_M_5_V_0p000920326029187_e_Dirac_cc_massiveAndCKM_LO'    , ['HN3L_M_5_V_0p000920326029187_e_Dirac_cc_massiveAndCKM_LO'    ], channel, '#splitline{m= 5.0, V^{2}=8.5E-07}{Dirac_cc }' , selection, 'hnl_m_5.0_v2_8p5Em07_dirac_cc' ,  'chocolate'    , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,    0.001475, toplot=False), 
Sample('HN3L_M_5_V_0p001_e_Dirac_massiveAndCKM_LO'                   , ['HN3L_M_5_V_0p001_e_Dirac_massiveAndCKM_LO'                   ], channel, '#splitline{m= 5.0, V^{2}=1.0E-06}{Dirac    }' , selection, 'hnl_m_5.0_v2_1p0Em06_dirac'    ,  'chocolate'    , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,    0.002325, toplot=False), 
Sample('HN3L_M_5_V_0p001_e_massiveAndCKM_LO'                         , ['HN3L_M_5_V_0p001_e_massiveAndCKM_LO'                         ], channel, '#splitline{m= 5.0, V^{2}=1.0E-06}{Majorana }' , selection, 'hnl_m_5.0_v2_1p0Em06_majorana' ,  'chocolate'    , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,     0.00399, toplot=False), 
Sample('HN3L_M_5_V_0p00145602197786_e_massiveAndCKM_LO'              , ['HN3L_M_5_V_0p00145602197786_e_massiveAndCKM_LO'              ], channel, '#splitline{m= 5.0, V^{2}=2.1E-06}{Majorana }' , selection, 'hnl_m_5.0_v2_2p1Em06_majorana' ,  'chocolate'    , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,    0.008479, toplot=False), 
Sample('HN3L_M_5_V_0p00178044938148_e_Dirac_cc_massiveAndCKM_LO'     , ['HN3L_M_5_V_0p00178044938148_e_Dirac_cc_massiveAndCKM_LO'     ], channel, '#splitline{m= 5.0, V^{2}=3.2E-06}{Dirac_cc }' , selection, 'hnl_m_5.0_v2_3p2Em06_dirac_cc' ,  'chocolate'    , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,    0.005521, toplot=False), 
Sample('HN3L_M_5_V_0p00205669638012_e_Dirac_massiveAndCKM_LO'        , ['HN3L_M_5_V_0p00205669638012_e_Dirac_massiveAndCKM_LO'        ], channel, '#splitline{m= 5.0, V^{2}=4.2E-06}{Dirac    }' , selection, 'hnl_m_5.0_v2_4p2Em06_dirac'    ,  'chocolate'    , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,    0.009818, toplot=False), 
Sample('HN3L_M_5_V_0p0065574385243_e_Dirac_cc_massiveAndCKM_LO'      , ['HN3L_M_5_V_0p0065574385243_e_Dirac_cc_massiveAndCKM_LO'      ], channel, '#splitline{m= 5.0, V^{2}=4.3E-05}{Dirac_cc }' , selection, 'hnl_m_5.0_v2_4p3Em05_dirac_cc' ,  'chocolate'    , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,     0.07494, toplot=False), 
Sample('HN3L_M_5_V_0p0707106781187_e_Dirac_massiveAndCKM_LO'         , ['HN3L_M_5_V_0p0707106781187_e_Dirac_massiveAndCKM_LO'         ], channel, '#splitline{m= 5.0, V^{2}=5.0E-03}{Dirac    }' , selection, 'hnl_m_5.0_v2_5p0Em03_dirac'    ,  'chocolate'    , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,       11.62, toplot=False), 
Sample('HN3L_M_5_V_0p0707106781187_e_Dirac_cc_massiveAndCKM_LO'      , ['HN3L_M_5_V_0p0707106781187_e_Dirac_cc_massiveAndCKM_LO'      ], channel, '#splitline{m= 5.0, V^{2}=5.0E-03}{Dirac_cc }' , selection, 'hnl_m_5.0_v2_5p0Em03_dirac_cc' ,  'chocolate'    , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,       8.708, toplot=False), 
Sample('HN3L_M_5_V_0p0707106781187_e_massiveAndCKM_LO'               , ['HN3L_M_5_V_0p0707106781187_e_massiveAndCKM_LO'               ], channel, '#splitline{m= 5.0, V^{2}=5.0E-03}{Majorana }' , selection, 'hnl_m_5.0_v2_5p0Em03_majorana' ,  'chocolate'    , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,        20.0, toplot=False), 
Sample('HN3L_M_5_V_0p22360679775_e_Dirac_massiveAndCKM_LO'           , ['HN3L_M_5_V_0p22360679775_e_Dirac_massiveAndCKM_LO'           ], channel, '#splitline{m= 5.0, V^{2}=5.0E-02}{Dirac    }' , selection, 'hnl_m_5.0_v2_5p0Em02_dirac'    ,  'chocolate'    , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,       116.2, toplot=False), 
Sample('HN3L_M_5_V_0p22360679775_e_Dirac_cc_massiveAndCKM_LO'        , ['HN3L_M_5_V_0p22360679775_e_Dirac_cc_massiveAndCKM_LO'        ], channel, '#splitline{m= 5.0, V^{2}=5.0E-02}{Dirac_cc }' , selection, 'hnl_m_5.0_v2_5p0Em02_dirac_cc' ,  'chocolate'    , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,       87.03, toplot=False), 
Sample('HN3L_M_5_V_0p22360679775_e_massiveAndCKM_LO'                 , ['HN3L_M_5_V_0p22360679775_e_massiveAndCKM_LO'                 ], channel, '#splitline{m= 5.0, V^{2}=5.0E-02}{Majorana }' , selection, 'hnl_m_5.0_v2_5p0Em02_majorana' ,  'chocolate'    , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,       199.8, toplot=False), 
Sample('HN3L_M_6_V_0p000522494019105_e_Dirac_cc_massiveAndCKM_LO'    , ['HN3L_M_6_V_0p000522494019105_e_Dirac_cc_massiveAndCKM_LO'    ], channel, '#splitline{m= 6.0, V^{2}=2.7E-07}{Dirac_cc }' , selection, 'hnl_m_6.0_v2_2p7Em07_dirac_cc' ,  'olive'        , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,   0.0004812, toplot=False), 
